bruises,cap-color,cap-shape,cap-surface,class,gill-attachment,gill-color,gill-size,gill-spacing,habitat,odor,population,ring-number,ring-type,spore-print-color,stalk-color-above-ring,stalk-color-below-ring,stalk-root,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,veil-color
f,e,f,s,p,f,b,n,c,l,f,v,o,e,w,p,p,?,t,s,k,w
f,n,f,s,p,f,b,n,c,d,f,v,o,e,w,p,p,?,t,k,k,w
f,n,f,y,p,f,b,n,c,l,y,v,o,e,w,w,p,?,t,s,k,w
f,n,f,y,p,f,b,n,c,l,f,v,o,e,w,p,p,?,t,s,k,w
f,e,f,s,p,f,b,n,c,l,y,v,o,e,w,p,w,?,t,s,k,w
f,e,x,y,p,f,b,n,c,p,f,v,o,e,w,w,w,?,t,s,k,w
f,e,f,s,p,f,b,n,c,l,f,v,o,e,w,w,p,?,t,s,s,w
f,n,f,s,p,f,b,n,c,p,y,v,o,e,w,w,p,?,t,s,k,w
f,e,x,y,p,f,b,n,c,d,y,v,o,e,w,w,p,?,t,s,k,w
f,e,f,y,p,f,b,n,c,l,f,v,o,e,w,w,w,?,t,k,s,w
f,n,x,s,p,f,b,n,c,p,f,v,o,e,w,p,w,?,t,s,k,w
f,n,f,y,p,f,b,n,c,p,s,v,o,e,w,w,w,?,t,s,s,w
f,e,f,y,p,f,b,n,c,d,f,v,o,e,w,p,p,?,t,s,s,w
f,n,f,y,p,f,b,n,c,d,y,v,o,e,w,w,w,?,t,s,k,w
f,n,f,y,p,f,b,n,c,l,y,v,o,e,w,p,p,?,t,s,k,w
f,e,x,y,p,f,b,n,c,l,s,v,o,e,w,p,w,?,t,k,s,w
f,e,x,y,p,f,b,n,c,l,s,v,o,e,w,p,p,?,t,s,k,w
f,n,f,y,p,f,b,n,c,l,y,v,o,e,w,p,p,?,t,k,k,w
f,n,x,s,p,f,b,n,c,p,f,v,o,e,w,p,p,?,t,s,s,w
f,n,f,s,p,f,b,n,c,l,s,v,o,e,w,p,w,?,t,k,s,w
f,e,f,y,p,f,b,n,c,p,y,v,o,e,w,w,p,?,t,k,k,w
f,e,x,s,p,f,b,n,c,p,f,v,o,e,w,w,p,?,t,k,k,w
f,e,x,y,p,f,b,n,c,l,s,v,o,e,w,p,w,?,t,k,k,w
f,e,f,s,p,f,b,n,c,l,f,v,o,e,w,w,w,?,t,s,s,w
f,e,f,y,p,f,b,n,c,d,f,v,o,e,w,p,p,?,t,k,s,w
f,e,x,y,p,f,b,n,c,l,s,v,o,e,w,w,w,?,t,s,k,w
f,n,x,s,p,f,b,n,c,l,f,v,o,e,w,w,p,?,t,s,s,w
f,e,x,y,p,f,b,n,c,l,s,v,o,e,w,p,w,?,t,s,k,w
f,e,k,s,p,f,b,n,c,p,s,v,o,e,w,p,w,?,t,k,k,w
f,e,x,s,p,f,b,n,c,l,f,v,o,e,w,p,p,?,t,s,s,w
t,c,x,s,e,f,w,b,c,p,n,v,t,p,w,w,w,b,e,s,s,w
f,e,x,s,p,f,b,n,c,p,y,v,o,e,w,w,p,?,t,s,k,w
f,n,f,s,p,f,b,n,c,d,y,v,o,e,w,w,p,?,t,s,s,w
f,n,x,s,p,f,b,n,c,l,y,v,o,e,w,p,w,?,t,s,k,w
f,n,f,y,p,f,b,n,c,p,s,v,o,e,w,p,p,?,t,s,k,w
f,e,f,y,p,f,b,n,c,l,y,v,o,e,w,p,w,?,t,s,k,w
f,e,f,s,p,f,b,n,c,l,s,v,o,e,w,w,w,?,t,s,s,w
f,e,x,y,p,f,b,n,c,l,f,v,o,e,w,p,p,?,t,k,k,w
f,n,x,s,p,f,b,n,c,d,y,v,o,e,w,w,p,?,t,k,k,w
f,e,x,s,p,f,b,n,c,l,f,v,o,e,w,p,w,?,t,k,s,w
f,e,x,y,p,f,b,n,c,d,f,v,o,e,w,w,w,?,t,k,s,w
f,e,f,s,p,f,b,n,c,p,f,v,o,e,w,w,p,?,t,k,s,w
f,n,f,s,p,f,b,n,c,l,y,v,o,e,w,w,w,?,t,s,k,w
f,e,x,y,p,f,b,n,c,l,s,v,o,e,w,p,p,?,t,k,s,w
f,e,k,s,p,f,b,n,c,p,f,v,o,e,w,w,w,?,t,s,s,w
f,e,f,y,p,f,b,n,c,p,y,v,o,e,w,w,w,?,t,k,s,w
f,n,f,y,p,f,b,n,c,d,s,v,o,e,w,w,w,?,t,s,s,w
f,n,f,s,p,f,b,n,c,d,y,v,o,e,w,w,w,?,t,s,k,w
f,e,x,s,p,f,b,n,c,p,y,v,o,e,w,w,p,?,t,k,k,w
f,e,f,s,p,f,b,n,c,p,s,v,o,e,w,w,p,?,t,k,k,w
f,e,f,y,p,f,b,n,c,l,y,v,o,e,w,p,w,?,t,s,s,w
f,n,f,s,p,f,b,n,c,l,f,v,o,e,w,w,p,?,t,s,s,w
f,e,x,y,p,f,b,n,c,l,s,v,o,e,w,w,p,?,t,s,s,w
f,e,x,y,p,f,b,n,c,p,f,v,o,e,w,p,p,?,t,k,k,w
f,w,b,f,e,f,g,b,w,g,n,n,t,p,w,w,w,?,e,s,s,w
f,e,f,y,p,f,b,n,c,l,s,v,o,e,w,w,w,?,t,k,s,w
f,e,f,y,p,f,b,n,c,l,y,v,o,e,w,w,p,?,t,s,k,w
f,n,f,s,p,f,b,n,c,p,s,v,o,e,w,p,p,?,t,k,s,w
f,n,k,s,p,f,b,n,c,d,y,v,o,e,w,w,p,?,t,s,s,w
f,w,k,f,e,f,g,b,w,g,n,s,t,p,w,w,w,?,e,k,s,w
f,e,x,s,p,f,b,n,c,d,f,v,o,e,w,w,p,?,t,s,s,w
f,n,x,s,p,f,b,n,c,p,f,v,o,e,w,w,p,?,t,k,k,w
f,e,x,y,p,f,b,n,c,d,f,v,o,e,w,w,w,?,t,s,s,w
f,n,x,s,p,f,b,n,c,p,s,v,o,e,w,p,w,?,t,k,k,w
f,e,x,s,p,f,b,n,c,p,s,v,o,e,w,w,p,?,t,k,k,w
f,n,x,s,p,f,b,n,c,d,s,v,o,e,w,p,p,?,t,s,s,w
f,e,f,s,p,f,b,n,c,d,f,v,o,e,w,w,w,?,t,k,k,w
f,e,x,y,p,f,b,n,c,d,f,v,o,e,w,w,w,?,t,k,k,w
f,e,x,s,p,f,b,n,c,l,s,v,o,e,w,w,p,?,t,k,k,w
f,e,x,s,p,f,b,n,c,d,s,v,o,e,w,w,p,?,t,s,s,w
f,e,x,s,p,f,b,n,c,d,s,v,o,e,w,w,w,?,t,s,s,w
f,e,x,s,p,f,b,n,c,d,f,v,o,e,w,w,w,?,t,k,k,w
f,n,x,s,p,f,b,n,c,l,y,v,o,e,w,w,p,?,t,s,k,w
f,n,x,s,p,f,b,n,c,l,y,v,o,e,w,w,p,?,t,k,s,w
f,e,f,s,p,f,b,n,c,p,y,v,o,e,w,p,w,?,t,s,k,w
f,e,x,s,p,f,b,n,c,d,f,v,o,e,w,p,p,?,t,s,s,w
f,e,f,s,p,f,b,n,c,l,f,v,o,e,w,p,p,?,t,k,s,w
f,e,f,y,p,f,b,n,c,d,y,v,o,e,w,p,w,?,t,s,s,w
f,e,f,y,p,f,b,n,c,p,f,v,o,e,w,w,p,?,t,s,s,w
f,n,f,y,p,f,b,n,c,l,f,v,o,e,w,w,w,?,t,k,s,w
f,e,f,s,p,f,b,n,c,p,f,v,o,e,w,w,w,?,t,s,s,w
f,n,x,s,p,f,b,n,c,p,f,v,o,e,w,w,p,?,t,s,k,w
f,e,f,y,p,f,b,n,c,d,s,v,o,e,w,w,w,?,t,s,k,w
f,n,f,s,p,f,b,n,c,d,y,v,o,e,w,p,w,?,t,s,s,w
f,n,k,s,p,f,b,n,c,p,f,v,o,e,w,p,p,?,t,s,k,w
f,n,x,s,p,f,b,n,c,d,y,v,o,e,w,p,w,?,t,s,s,w
f,e,f,s,p,f,b,n,c,l,f,v,o,e,w,p,p,?,t,s,s,w
f,n,k,s,p,f,b,n,c,p,f,v,o,e,w,p,w,?,t,k,k,w
f,e,x,y,p,f,b,n,c,d,s,v,o,e,w,w,w,?,t,k,s,w
f,e,f,s,p,f,b,n,c,l,y,v,o,e,w,p,w,?,t,s,s,w
f,e,f,y,p,f,b,n,c,l,f,v,o,e,w,p,p,?,t,s,s,w
f,n,f,s,p,f,b,n,c,d,f,v,o,e,w,p,w,?,t,k,s,w
f,e,x,s,p,f,b,n,c,l,s,v,o,e,w,w,p,?,t,k,s,w
f,e,x,y,p,f,b,n,c,p,s,v,o,e,w,w,w,?,t,k,k,w
f,e,x,y,p,f,b,n,c,p,s,v,o,e,w,w,p,?,t,s,k,w
f,n,x,s,p,f,b,n,c,l,f,v,o,e,w,p,w,?,t,s,k,w
f,n,f,y,p,f,b,n,c,l,f,v,o,e,w,p,p,?,t,s,s,w
f,e,x,s,p,f,b,n,c,p,f,v,o,e,w,p,p,?,t,k,k,w
f,e,x,y,p,f,b,n,c,l,s,v,o,e,w,p,p,?,t,k,k,w
f,n,f,s,p,f,b,n,c,d,s,v,o,e,w,p,w,?,t,k,k,w
f,e,f,y,p,f,b,n,c,p,s,v,o,e,w,p,w,?,t,k,k,w
f,e,f,s,p,f,b,n,c,p,y,v,o,e,w,w,p,?,t,k,k,w
f,e,x,y,p,f,b,n,c,p,s,v,o,e,w,p,p,?,t,k,k,w
f,e,x,s,p,f,b,n,c,p,y,v,o,e,w,w,p,?,t,k,s,w
f,e,f,y,p,f,b,n,c,d,y,v,o,e,w,p,w,?,t,s,k,w
f,n,k,y,p,f,b,n,c,d,s,v,o,e,w,w,p,?,t,s,k,w
f,e,f,y,p,f,b,n,c,l,s,v,o,e,w,p,p,?,t,s,s,w
f,e,f,y,p,f,b,n,c,l,f,v,o,e,w,w,p,?,t,k,k,w
f,e,k,y,p,f,b,n,c,d,f,v,o,e,w,w,w,?,t,k,k,w
f,n,x,s,p,f,b,n,c,d,f,v,o,e,w,w,w,?,t,k,k,w
f,e,x,s,p,f,b,n,c,d,s,v,o,e,w,p,w,?,t,k,s,w
f,e,f,y,p,f,b,n,c,p,s,v,o,e,w,w,w,?,t,k,k,w
f,w,k,s,e,f,g,b,w,g,n,s,t,p,w,w,w,?,e,k,s,w
f,n,f,y,p,f,b,n,c,p,f,v,o,e,w,w,p,?,t,k,s,w
f,e,x,s,p,f,b,n,c,p,f,v,o,e,w,w,p,?,t,s,s,w
f,n,f,y,p,f,b,n,c,l,y,v,o,e,w,w,p,?,t,k,s,w
f,e,x,s,p,f,b,n,c,l,y,v,o,e,w,w,p,?,t,k,k,w
f,e,f,y,p,f,b,n,c,d,y,v,o,e,w,w,w,?,t,k,k,w
f,n,f,y,p,f,b,n,c,l,s,v,o,e,w,p,w,?,t,k,k,w
f,e,f,y,p,f,b,n,c,p,f,v,o,e,w,p,w,?,t,k,k,w
f,g,b,s,e,f,w,b,w,g,n,n,t,p,w,w,w,?,e,s,k,w
f,n,f,s,p,f,b,n,c,p,y,v,o,e,w,w,w,?,t,s,k,w
f,e,f,y,p,f,b,n,c,d,s,v,o,e,w,p,w,?,t,s,k,w
f,e,x,y,p,f,b,n,c,p,f,v,o,e,w,p,w,?,t,s,k,w
f,e,k,y,p,f,b,n,c,l,s,v,o,e,w,w,w,?,t,s,k,w
f,g,b,f,e,f,p,b,w,g,n,n,t,p,w,w,w,?,e,k,s,w
f,e,x,y,p,f,b,n,c,l,f,v,o,e,w,p,w,?,t,s,s,w
f,e,k,s,p,f,b,n,c,l,f,v,o,e,w,w,p,?,t,s,k,w
f,n,x,s,p,f,b,n,c,p,s,v,o,e,w,p,p,?,t,s,k,w
f,w,k,s,e,f,g,b,w,g,n,s,t,p,w,w,w,?,e,s,k,w
f,n,x,s,p,f,b,n,c,p,y,v,o,e,w,p,p,?,t,k,s,w
f,e,f,s,p,f,b,n,c,d,s,v,o,e,w,p,p,?,t,s,s,w
f,n,k,y,p,f,b,n,c,l,s,v,o,e,w,w,w,?,t,k,k,w
f,e,x,s,p,f,b,n,c,d,y,v,o,e,w,w,w,?,t,k,s,w
f,e,k,y,p,f,b,n,c,p,f,v,o,e,w,p,p,?,t,k,s,w
f,e,f,s,p,f,b,n,c,p,s,v,o,e,w,p,p,?,t,s,k,w
f,e,x,y,p,f,b,n,c,d,y,v,o,e,w,p,w,?,t,s,s,w
f,n,f,y,p,f,b,n,c,l,y,v,o,e,w,w,p,?,t,s,s,w
f,e,k,s,p,f,b,n,c,p,f,v,o,e,w,w,w,?,t,s,k,w
f,e,x,y,p,f,b,n,c,l,y,v,o,e,w,w,p,?,t,s,s,w
f,n,k,y,p,f,b,n,c,l,y,v,o,e,w,w,p,?,t,k,k,w
f,e,f,s,p,f,b,n,c,l,f,v,o,e,w,w,w,?,t,s,k,w
f,n,x,s,p,f,b,n,c,p,f,v,o,e,w,p,p,?,t,k,s,w
f,n,f,y,p,f,b,n,c,d,f,v,o,e,w,p,p,?,t,k,s,w
f,e,f,s,p,f,b,n,c,d,s,v,o,e,w,w,p,?,t,s,k,w
f,e,x,s,p,f,b,n,c,d,y,v,o,e,w,p,w,?,t,k,k,w
f,n,f,s,p,f,b,n,c,d,y,v,o,e,w,w,p,?,t,s,k,w
f,n,f,y,p,f,b,n,c,l,s,v,o,e,w,p,p,?,t,s,k,w
f,n,f,y,p,f,b,n,c,d,y,v,o,e,w,p,w,?,t,s,s,w
f,e,x,y,p,f,b,n,c,d,f,v,o,e,w,p,p,?,t,s,s,w
f,e,x,s,p,f,b,n,c,d,f,v,o,e,w,p,p,?,t,s,k,w
f,e,f,y,p,f,b,n,c,l,y,v,o,e,w,p,p,?,t,s,s,w
f,e,f,y,p,f,b,n,c,d,f,v,o,e,w,w,p,?,t,k,s,w
f,e,f,y,p,f,b,n,c,p,f,v,o,e,w,p,p,?,t,k,k,w
f,n,x,s,p,f,b,n,c,l,s,v,o,e,w,p,w,?,t,s,s,w
f,n,f,s,p,f,b,n,c,d,s,v,o,e,w,w,w,?,t,s,k,w
f,n,x,s,p,f,b,n,c,l,f,v,o,e,w,p,w,?,t,k,k,w
f,e,x,y,p,f,b,n,c,d,s,v,o,e,w,p,p,?,t,s,k,w
f,n,f,y,p,f,b,n,c,p,y,v,o,e,w,w,p,?,t,k,k,w
f,e,f,s,p,f,b,n,c,l,y,v,o,e,w,p,w,?,t,k,s,w
f,n,k,y,p,f,b,n,c,d,s,v,o,e,w,p,w,?,t,k,k,w
f,e,x,s,p,f,b,n,c,p,s,v,o,e,w,p,w,?,t,s,k,w
f,n,f,y,p,f,b,n,c,d,f,v,o,e,w,w,w,?,t,k,s,w
f,e,x,y,p,f,b,n,c,p,s,v,o,e,w,p,p,?,t,s,k,w
f,e,f,y,p,f,b,n,c,d,s,v,o,e,w,p,w,?,t,k,k,w
f,e,x,y,p,f,b,n,c,d,y,v,o,e,w,w,w,?,t,s,k,w
f,e,f,y,p,f,b,n,c,l,y,v,o,e,w,w,w,?,t,k,s,w
f,e,k,y,p,f,b,n,c,l,y,v,o,e,w,w,w,?,t,k,k,w
f,g,k,s,e,f,g,b,w,g,n,s,t,p,w,w,w,?,e,k,s,w
f,e,f,y,p,f,b,n,c,d,s,v,o,e,w,w,p,?,t,s,s,w
f,e,x,s,p,f,b,n,c,p,f,v,o,e,w,p,p,?,t,s,k,w
f,n,x,s,p,f,b,n,c,l,y,v,o,e,w,p,w,?,t,k,s,w
f,e,f,s,p,f,b,n,c,d,s,v,o,e,w,p,w,?,t,s,k,w
f,e,f,s,p,f,b,n,c,l,s,v,o,e,w,w,w,?,t,s,k,w
f,e,f,s,p,f,b,n,c,l,s,v,o,e,w,p,p,?,t,k,k,w
f,n,f,s,p,f,b,n,c,d,y,v,o,e,w,p,p,?,t,s,k,w
f,n,f,y,p,f,b,n,c,p,s,v,o,e,w,p,p,?,t,k,s,w
f,e,x,s,p,f,b,n,c,p,y,v,o,e,w,w,p,?,t,s,s,w
f,e,x,s,p,f,b,n,c,d,y,v,o,e,w,w,p,?,t,s,s,w
f,e,x,s,p,f,b,n,c,p,f,v,o,e,w,p,w,?,t,k,s,w
f,e,f,s,p,f,b,n,c,d,s,v,o,e,w,p,w,?,t,s,s,w
f,e,x,s,p,f,b,n,c,p,s,v,o,e,w,w,w,?,t,s,k,w
f,e,x,s,p,f,b,n,c,p,s,v,o,e,w,p,p,?,t,s,k,w
f,n,f,s,p,f,b,n,c,l,s,v,o,e,w,p,w,?,t,s,k,w
f,n,k,y,p,f,b,n,c,d,y,v,o,e,w,w,w,?,t,k,s,w
f,e,x,y,p,f,b,n,c,p,s,v,o,e,w,p,w,?,t,k,s,w
f,n,x,s,p,f,b,n,c,l,f,v,o,e,w,p,p,?,t,s,k,w
f,n,x,s,p,f,b,n,c,l,f,v,o,e,w,p,w,?,t,k,s,w
f,w,b,s,e,f,p,b,w,g,n,s,t,p,w,w,w,?,e,k,k,w
f,e,x,s,p,f,b,n,c,p,f,v,o,e,w,p,w,?,t,k,k,w
f,e,f,s,p,f,b,n,c,p,s,v,o,e,w,p,w,?,t,k,k,w
f,e,x,s,p,f,b,n,c,l,y,v,o,e,w,p,w,?,t,s,s,w
f,e,x,y,p,f,b,n,c,d,f,v,o,e,w,w,p,?,t,s,k,w
f,n,f,y,p,f,b,n,c,p,f,v,o,e,w,w,p,?,t,s,s,w
f,e,f,s,p,f,b,n,c,l,y,v,o,e,w,p,p,?,t,k,s,w
f,n,f,y,p,f,b,n,c,d,s,v,o,e,w,w,p,?,t,s,k,w
f,e,f,y,p,f,b,n,c,d,f,v,o,e,w,w,p,?,t,k,k,w
f,n,f,s,p,f,b,n,c,d,f,v,o,e,w,p,w,?,t,s,s,w
f,e,x,y,p,f,b,n,c,l,f,v,o,e,w,w,p,?,t,s,s,w
f,n,f,s,p,f,b,n,c,d,s,v,o,e,w,p,w,?,t,k,s,w
f,n,x,s,p,f,b,n,c,l,y,v,o,e,w,w,w,?,t,k,s,w
f,e,f,s,p,f,b,n,c,p,s,v,o,e,w,p,p,?,t,k,s,w
f,n,x,s,p,f,b,n,c,d,s,v,o,e,w,w,w,?,t,s,s,w
f,e,f,s,p,f,b,n,c,l,s,v,o,e,w,p,w,?,t,k,s,w
f,e,x,y,p,f,b,n,c,p,y,v,o,e,w,p,w,?,t,s,s,w
f,n,f,y,p,f,b,n,c,p,f,v,o,e,w,w,w,?,t,s,k,w
f,e,x,y,p,f,b,n,c,l,f,v,o,e,w,p,p,?,t,k,s,w
f,n,f,s,p,f,b,n,c,p,f,v,o,e,w,w,w,?,t,k,k,w
f,n,f,s,p,f,b,n,c,p,y,v,o,e,w,w,p,?,t,k,s,w
f,n,x,s,p,f,b,n,c,p,y,v,o,e,w,w,w,?,t,k,k,w
f,e,f,s,p,f,b,n,c,d,s,v,o,e,w,w,p,?,t,s,s,w
f,e,x,y,p,f,b,n,c,l,f,v,o,e,w,p,p,?,t,s,k,w
f,e,x,y,p,f,b,n,c,d,s,v,o,e,w,p,w,?,t,s,k,w
f,n,k,s,p,f,b,n,c,d,s,v,o,e,w,p,p,?,t,k,k,w
f,e,x,s,p,f,b,n,c,p,f,v,o,e,w,p,w,?,t,s,s,w
f,e,x,s,p,f,b,n,c,p,f,v,o,e,w,p,p,?,t,k,s,w
f,n,f,y,p,f,b,n,c,l,f,v,o,e,w,w,w,?,t,s,k,w
f,e,f,s,p,f,b,n,c,d,y,v,o,e,w,p,w,?,t,s,s,w
f,e,f,s,p,f,b,n,c,p,f,v,o,e,w,p,p,?,t,s,s,w
f,n,k,y,p,f,b,n,c,p,y,v,o,e,w,p,p,?,t,k,s,w
f,n,f,s,p,f,b,n,c,l,f,v,o,e,w,w,p,?,t,k,s,w
f,e,f,y,p,f,b,n,c,p,f,v,o,e,w,p,w,?,t,s,s,w
f,e,f,y,p,f,b,n,c,l,f,v,o,e,w,p,w,?,t,s,k,w
f,e,k,s,p,f,b,n,c,d,s,v,o,e,w,p,p,?,t,k,s,w
f,n,x,s,p,f,b,n,c,d,f,v,o,e,w,w,p,?,t,k,s,w
f,n,f,y,p,f,b,n,c,d,y,v,o,e,w,p,p,?,t,k,s,w
f,e,f,s,p,f,b,n,c,p,f,v,o,e,w,w,w,?,t,k,k,w
f,n,f,y,p,f,b,n,c,p,f,v,o,e,w,p,w,?,t,s,s,w
f,n,k,s,p,f,b,n,c,d,y,v,o,e,w,w,w,?,t,s,s,w
f,e,x,y,p,f,b,n,c,l,y,v,o,e,w,p,w,?,t,s,s,w
f,e,x,y,p,f,b,n,c,p,f,v,o,e,w,w,p,?,t,k,k,w
f,e,x,s,p,f,b,n,c,p,y,v,o,e,w,p,p,?,t,k,s,w
f,n,f,y,p,f,b,n,c,l,f,v,o,e,w,p,w,?,t,k,k,w
f,e,f,y,p,f,b,n,c,p,s,v,o,e,w,p,w,?,t,k,s,w
f,n,f,y,p,f,b,n,c,p,s,v,o,e,w,p,w,?,t,k,s,w
f,n,k,y,p,f,b,n,c,l,y,v,o,e,w,w,w,?,t,k,s,w
f,n,x,s,p,f,b,n,c,d,s,v,o,e,w,p,p,?,t,k,k,w
f,e,x,s,p,f,b,n,c,l,y,v,o,e,w,p,p,?,t,s,s,w
f,n,x,s,p,f,b,n,c,l,f,v,o,e,w,p,w,?,t,s,s,w
f,e,f,y,p,f,b,n,c,p,f,v,o,e,w,w,p,?,t,s,k,w
f,e,k,y,p,f,b,n,c,d,f,v,o,e,w,p,p,?,t,s,k,w
f,g,x,f,e,f,w,b,w,g,n,s,t,p,w,w,w,?,e,s,k,w
f,e,f,y,p,f,b,n,c,l,f,v,o,e,w,p,w,?,t,s,s,w
f,e,x,s,p,f,b,n,c,l,s,v,o,e,w,p,w,?,t,k,s,w
f,e,x,s,p,f,b,n,c,l,f,v,o,e,w,w,p,?,t,k,s,w
f,n,f,y,p,f,b,n,c,p,f,v,o,e,w,p,p,?,t,k,k,w
f,n,f,y,p,f,b,n,c,l,y,v,o,e,w,p,p,?,t,s,s,w
f,e,x,y,p,f,b,n,c,d,s,v,o,e,w,p,w,?,t,k,k,w
